Resumen Busqueda Ordenada:-
Tiempos de Busquedas Ordenadas:-
Ciclo Busqueda Ordenada; Tiempo; Resultado-
0;0;si-
1;0;si-
2;0;si-
3;74;no-
4;0;si-
5;82;no-
6;0;si-
7;111;no-
8;107;no-
9;0;si-
10;110;no-
11;94;no-
12;79;no-
13;81;no-
14;0;si-
15;82;no-
16;0;si-
17;85;no-
18;0;si-
19;87;no-
20;0;si-
21;88;no-
22;0;si-
23;0;si-
24;84;no-
25;97;no-
26;79;no-
27;0;si-
28;0;si-
29;82;no-
30;86;no-
31;81;no-
32;0;si-
33;80;no-
34;0;si-
35;75;no-
36;73;no-
37;76;no-
38;59;no-
39;0;si-
40;0;si-
41;90;no-
42;70;no-
43;84;no-
44;100;no-
45;88;no-
46;0;si-
47;0;si-
48;70;no-
49;63;no-
50;0;si-
51;0;si-
52;0;si-
53;0;si-
54;0;si-
55;63;no-
56;57;no-
57;0;si-
58;0;si-
59;0;si-
60;79;no-
61;80;no-
62;0;si-
63;79;no-
64;0;si-
65;0;si-
66;0;si-
67;88;no-
68;0;si-
69;116;no-
70;0;si-
71;121;no-
72;0;si-
73;110;no-
74;0;si-
75;93;no-
76;0;si-
77;86;no-
78;77;no-
79;85;no-
80;88;no-
81;0;si-
82;0;si-
83;85;no-
84;0;si-
85;84;no-
86;89;no-
87;87;no-
88;85;no-
89;86;no-
90;88;no-
91;96;no-
92;0;si-
93;85;no-
94;82;no-
95;75;no-
96;68;no-
97;0;si-
98;0;si-
99;65;no-
100;67;no-
101;0;si-
102;80;no-
103;78;no-
104;68;no-
105;90;no-
106;76;no-
107;68;no-
108;71;no-
109;0;si-
110;67;no-
111;0;si-
112;57;no-
113;0;si-
114;0;si-
115;61;no-
116;89;no-
117;0;si-
118;72;no-
119;81;no-
120;0;si-
121;72;no-
122;63;no-
123;0;si-
124;102;no-
125;0;si-
126;86;no-
127;0;si-
128;96;no-
129;101;no-
130;119;no-
131;0;si-
132;85;no-
133;95;no-
134;78;no-
135;73;no-
136;0;si-
137;0;si-
138;70;no-
139;120;no-
140;0;si-
141;0;si-
142;0;si-
143;0;si-
144;89;no-
145;0;si-
146;73;no-
147;0;si-
148;71;no-
149;61;no-
150;59;no-
151;0;si-
152;70;no-
153;70;no-
154;73;no-
155;87;no-
156;113;no-
157;84;no-
158;87;no-
159;88;no-
160;78;no-
161;62;no-
162;68;no-
163;61;no-
164;60;no-
165;0;si-
166;67;no-
167;72;no-
168;0;si-
169;83;no-
170;83;no-
171;0;si-
172;77;no-
173;0;si-
174;85;no-
175;76;no-
176;58;no-
177;0;si-
178;0;si-
179;83;no-
180;66;no-
181;60;no-
182;71;no-
183;0;si-
184;76;no-
185;63;no-
186;59;no-
187;60;no-
188;57;no-
189;55;no-
190;62;no-
191;0;si-
192;71;no-
193;75;no-
194;79;no-
195;69;no-
196;69;no-
197;1;si-
198;0;si-
199;0;si-
200;75;no-
201;0;si-
202;86;no-
203;77;no-
204;71;no-
205;0;si-
206;0;si-
207;62;no-
208;56;no-
209;74;no-
210;0;si-
211;59;no-
212;56;no-
213;56;no-
214;0;si-
215;103;no-
216;104;no-
217;108;no-
218;0;si-
219;90;no-
220;82;no-
221;86;no-
222;85;no-
223;89;no-
224;83;no-
225;82;no-
226;83;no-
227;83;no-
228;0;si-
229;0;si-
230;84;no-
231;82;no-
232;97;no-
233;79;no-
234;77;no-
235;60;no-
236;59;no-
237;64;no-
238;61;no-
239;0;si-
240;78;no-
241;85;no-
242;93;no-
243;81;no-
244;63;no-
245;68;no-
246;69;no-
247;79;no-
248;67;no-
249;95;no-
250;71;no-
251;57;no-
252;0;si-
253;66;no-
254;66;no-
255;64;no-
256;59;no-
257;0;si-
258;55;no-
259;63;no-
260;0;si-
261;55;no-
262;0;si-
263;62;no-
264;60;no-
265;0;si-
266;72;no-
267;74;no-
268;61;no-
269;56;no-
270;82;no-
271;0;si-
272;72;no-
273;65;no-
274;0;si-
275;0;si-
276;67;no-
277;90;no-
278;0;si-
279;66;no-
280;55;no-
281;76;no-
282;0;si-
283;73;no-
284;0;si-
285;85;no-
286;0;si-
287;0;si-
288;78;no-
289;78;no-
290;78;no-
291;106;no-
292;0;si-
293;106;no-
294;0;si-
295;0;si-
296;0;si-
297;104;no-
298;104;no-
299;81;no-
300;94;no-
301;105;no-
302;0;si-
303;109;no-
304;113;no-
305;0;si-
306;0;si-
307;0;si-
308;103;no-
309;86;no-
310;76;no-
311;0;si-
312;85;no-
313;77;no-
314;97;no-
315;0;si-
316;0;si-
317;0;si-
318;0;si-
319;85;no-
320;79;no-
321;93;no-
322;92;no-
323;0;si-
324;80;no-
325;0;si-
326;79;no-
327;0;si-
328;89;no-
329;86;no-
330;0;si-
331;66;no-
332;69;no-
333;65;no-
334;61;no-
335;60;no-
336;70;no-
337;0;si-
338;0;si-
339;72;no-
340;84;no-
341;0;si-
342;83;no-
343;0;si-
344;0;si-
345;71;no-
346;0;si-
347;84;no-
348;71;no-
349;57;no-
350;0;si-
351;70;no-
352;61;no-
353;70;no-
354;67;no-
355;59;no-
356;56;no-
357;0;si-
358;88;no-
359;78;no-
360;70;no-
361;70;no-
362;0;si-
363;67;no-
364;68;no-
365;69;no-
366;66;no-
367;79;no-
368;0;si-
369;79;no-
370;0;si-
371;0;si-
372;99;no-
373;101;no-
374;0;si-
375;0;si-
376;102;no-
377;0;si-
378;96;no-
379;104;no-
380;0;si-
381;110;no-
382;88;no-
383;79;no-
384;79;no-
385;90;no-
386;108;no-
387;96;no-
388;101;no-
389;106;no-
390;98;no-
391;101;no-
392;92;no-
393;0;si-
394;78;no-
395;72;no-
396;68;no-
397;0;si-
398;61;no-
399;65;no-
400;67;no-
401;73;no-
402;66;no-
403;67;no-
404;72;no-
405;71;no-
406;63;no-
407;0;si-
408;0;si-
409;63;no-
410;65;no-
411;64;no-
412;0;si-
413;77;no-
414;75;no-
415;0;si-
416;66;no-
417;0;si-
418;55;no-
419;64;no-
420;60;no-
421;63;no-
422;0;si-
423;62;no-
424;54;no-
425;58;no-
426;61;no-
427;65;no-
428;0;si-
429;61;no-
430;0;si-
431;71;no-
432;70;no-
433;79;no-
434;0;si-
435;76;no-
436;74;no-
437;0;si-
438;64;no-
439;0;si-
440;60;no-
441;73;no-
442;0;si-
443;0;si-
444;83;no-
445;90;no-
446;62;no-
447;58;no-
448;70;no-
449;56;no-
450;0;si-
451;64;no-
452;0;si-
453;62;no-
454;0;si-
455;0;si-
456;63;no-
457;79;no-
458;78;no-
459;0;si-
460;75;no-
461;67;no-
462;76;no-
463;63;no-
464;56;no-
465;68;no-
466;0;si-
467;84;no-
468;81;no-
469;0;si-
470;78;no-
471;79;no-
472;77;no-
473;81;no-
474;78;no-
475;1;si-
476;77;no-
477;0;si-
478;0;si-
479;0;si-
480;80;no-
481;78;no-
482;0;si-
483;0;si-
484;70;no-
485;66;no-
486;61;no-
487;57;no-
488;0;si-
489;0;si-
490;0;si-
491;59;no-
492;0;si-
493;59;no-
494;59;no-
495;0;si-
496;66;no-
497;72;no-
498;72;no-
499;0;si-
500;73;no-
501;72;no-
502;67;no-
503;65;no-
504;57;no-
505;58;no-
506;0;si-
507;0;si-
508;56;no-
509;56;no-
510;59;no-
511;0;si-
512;63;no-
513;53;no-
514;66;no-
515;70;no-
516;0;si-
517;0;si-
518;64;no-
519;59;no-
520;0;si-
521;60;no-
522;67;no-
523;0;si-
524;68;no-
525;1;si-
526;69;no-
527;59;no-
528;53;no-
529;53;no-
530;53;no-
531;0;si-
532;0;si-
533;0;si-
534;58;no-
535;0;si-
536;62;no-
537;64;no-
538;59;no-
539;54;no-
540;59;no-
541;54;no-
542;64;no-
543;62;no-
544;60;no-
545;88;no-
546;79;no-
547;80;no-
548;0;si-
549;0;si-
550;0;si-
551;68;no-
552;59;no-
553;0;si-
554;67;no-
555;0;si-
556;0;si-
557;61;no-
558;0;si-
559;60;no-
560;60;no-
561;0;si-
562;60;no-
563;0;si-
564;0;si-
565;0;si-
566;0;si-
567;65;no-
568;78;no-
569;78;no-
570;80;no-
571;0;si-
572;80;no-
573;78;no-
574;78;no-
575;0;si-
576;0;si-
577;75;no-
578;0;si-
579;0;si-
580;0;si-
581;0;si-
582;0;si-
583;0;si-
584;0;si-
585;68;no-
586;62;no-
587;0;si-
588;58;no-
589;0;si-
590;55;no-
591;61;no-
592;57;no-
593;0;si-
594;0;si-
595;61;no-
596;0;si-
597;0;si-
598;58;no-
599;65;no-
600;65;no-
601;76;no-
602;84;no-
603;79;no-
604;0;si-
605;82;no-
606;78;no-
607;0;si-
608;68;no-
609;67;no-
610;0;si-
611;0;si-
612;0;si-
613;65;no-
614;63;no-
615;66;no-
616;65;no-
617;68;no-
618;65;no-
619;62;no-
620;65;no-
621;70;no-
