Resumen Busqueda:-
Tiempos de Busquedas:-
Ciclo Busqueda; Tiempo; Resultado-
0;16;no-
1;8;no-
2;4;no-
3;5;no-
4;5;no-
5;4;no-
6;5;no-
7;4;no-
8;5;no-
9;4;no-
10;4;no-
11;5;no-
12;5;si-
13;4;no-
14;5;si-
15;8;si-
16;4;no-
17;5;no-
18;5;no-
19;4;si-
20;5;no-
21;4;no-
22;5;no-
23;4;si-
24;5;si-
25;4;no-
26;5;si-
27;4;no-
28;5;no-
29;4;si-
30;4;si-
31;4;si-
32;5;no-
33;4;no-
34;5;no-
35;4;no-
36;4;si-
37;5;no-
38;4;no-
39;4;no-
40;4;no-
41;4;no-
42;5;no-
43;5;si-
44;4;si-
45;5;no-
46;4;no-
47;4;no-
48;4;si-
49;4;no-
50;5;si-
51;5;no-
52;4;no-
53;5;no-
54;5;no-
55;4;si-
56;5;no-
57;4;no-
58;5;si-
59;5;si-
60;5;no-
61;4;no-
62;4;no-
63;5;no-
64;4;no-
65;4;no-
66;4;no-
67;5;si-
68;5;no-
69;5;no-
70;5;no-
71;4;no-
72;5;no-
73;5;no-
74;4;no-
75;5;no-
76;4;no-
77;4;no-
78;4;no-
79;4;no-
80;4;no-
81;4;no-
82;5;no-
83;4;si-
84;4;si-
85;5;no-
86;4;si-
87;4;si-
88;5;no-
89;4;no-
90;5;no-
91;4;si-
92;5;no-
93;4;no-
94;5;no-
95;4;si-
96;4;no-
97;4;si-
98;4;no-
99;5;si-
100;4;no-
101;4;si-
102;4;no-
103;4;no-
104;4;si-
105;4;no-
106;4;no-
107;4;no-
108;4;si-
109;4;no-
110;4;no-
111;5;no-
112;4;no-
113;5;no-
114;4;si-
115;4;no-
116;4;no-
117;5;no-
118;4;no-
119;4;no-
120;4;no-
121;5;no-
122;5;no-
123;4;no-
124;5;no-
125;5;no-
126;4;no-
127;4;si-
128;4;no-
129;4;no-
130;4;si-
131;5;no-
132;4;no-
133;4;si-
134;4;no-
135;4;si-
136;4;no-
137;5;si-
138;5;no-
139;4;no-
140;4;si-
141;4;no-
142;5;no-
143;5;no-
144;4;no-
145;4;no-
146;4;si-
147;4;no-
148;5;si-
149;4;no-
150;4;no-
151;4;no-
152;5;no-
153;4;si-
154;4;no-
155;4;no-
156;4;no-
157;4;no-
158;6;no-
