Resumen Busqueda:-
Tiempos de Busquedas:-
Ciclo Busqueda; Tiempo; Resultado-
0;9;no-
1;10;no-
2;9;no-
3;9;no-
4;9;no-
5;9;no-
6;10;no-
7;9;no-
8;10;no-
9;9;no-
10;9;no-
11;9;no-
12;9;si-
13;9;no-
14;9;si-
15;8;si-
16;9;no-
17;10;no-
18;9;no-
19;9;si-
20;9;no-
21;10;no-
22;9;no-
23;9;si-
24;9;si-
25;9;no-
26;8;si-
27;9;no-
28;9;no-
29;9;si-
30;8;si-
31;10;si-
32;9;no-
33;9;no-
34;9;no-
35;8;no-
36;10;si-
37;9;no-
38;9;no-
39;9;no-
40;8;no-
41;9;no-
42;9;no-
43;10;si-
44;9;si-
45;9;no-
46;9;no-
47;9;no-
48;10;si-
49;8;no-
50;9;si-
51;10;no-
52;9;no-
53;9;no-
54;9;no-
55;10;si-
56;9;no-
57;9;no-
58;9;si-
59;9;si-
60;9;no-
61;9;no-
62;10;no-
63;9;no-
64;9;no-
65;8;no-
66;9;no-
67;9;si-
68;9;no-
69;8;no-
70;8;no-
71;9;no-
72;8;no-
73;10;no-
74;9;no-
75;9;no-
76;8;no-
77;9;no-
78;9;no-
79;9;no-
80;9;no-
81;9;no-
82;9;no-
83;9;si-
84;9;si-
85;10;no-
86;9;si-
87;9;si-
88;9;no-
89;9;no-
90;9;no-
91;9;si-
92;9;no-
93;9;no-
94;9;no-
95;9;si-
96;9;no-
97;10;si-
98;11;no-
99;12;si-
100;13;no-
101;9;si-
102;10;no-
103;9;no-
104;8;si-
105;9;no-
106;9;no-
107;9;no-
108;9;si-
109;8;no-
110;9;no-
111;9;no-
112;9;no-
113;9;no-
114;8;si-
115;10;no-
116;9;no-
117;8;no-
118;9;no-
119;8;no-
120;10;no-
121;9;no-
122;8;no-
123;9;no-
124;9;no-
125;9;no-
126;8;no-
127;9;si-
128;9;no-
129;9;no-
130;10;si-
131;9;no-
132;8;no-
133;10;si-
134;9;no-
135;9;si-
136;9;no-
137;8;si-
138;9;no-
139;8;no-
140;9;si-
141;9;no-
142;9;no-
143;9;no-
144;9;no-
145;9;no-
146;10;si-
147;8;no-
148;9;si-
149;8;no-
150;9;no-
151;9;no-
152;8;no-
153;10;si-
154;9;no-
155;9;no-
156;8;no-
157;9;no-
158;10;no-
159;9;no-
160;9;no-
161;9;no-
162;9;si-
163;9;no-
164;8;no-
165;10;no-
166;9;no-
167;9;no-
168;9;no-
169;9;no-
170;8;no-
171;9;si-
172;8;no-
173;9;no-
174;9;si-
175;9;no-
176;9;si-
177;9;si-
178;9;no-
179;9;no-
180;9;si-
181;9;si-
182;10;no-
183;9;no-
184;8;no-
185;9;no-
186;9;si-
187;8;no-
188;9;si-
189;8;no-
190;9;no-
191;10;no-
192;8;si-
193;9;no-
194;8;no-
195;9;no-
196;9;no-
197;9;no-
198;9;no-
199;8;no-
200;9;si-
201;9;no-
202;9;si-
203;9;no-
204;10;si-
205;9;si-
206;9;no-
207;10;no-
208;8;no-
209;9;no-
210;9;no-
211;9;si-
212;9;si-
213;9;no-
214;8;no-
215;9;no-
216;9;no-
217;9;si-
218;9;si-
219;9;si-
220;9;no-
221;9;no-
222;8;si-
223;10;no-
224;9;si-
225;9;no-
226;9;no-
227;9;si-
228;9;no-
229;9;no-
230;9;no-
231;9;no-
232;9;no-
233;9;si-
234;9;no-
235;9;si-
236;9;no-
237;9;no-
238;9;no-
239;9;no-
240;9;si-
241;10;no-
242;9;no-
243;8;si-
244;9;no-
245;9;no-
246;8;no-
247;9;no-
248;9;no-
249;9;no-
250;9;si-
251;9;no-
252;9;no-
253;8;no-
254;9;no-
255;10;no-
256;9;no-
257;9;no-
258;9;no-
259;9;si-
260;9;no-
261;9;no-
262;9;no-
263;9;no-
264;9;no-
265;9;no-
266;9;no-
267;9;si-
268;8;si-
269;10;no-
270;9;no-
271;8;si-
272;9;si-
273;10;no-
274;9;no-
275;8;si-
276;9;no-
277;9;no-
278;9;si-
279;10;no-
280;9;no-
281;10;no-
282;10;no-
283;8;si-
284;10;si-
285;9;si-
286;8;si-
287;8;no-
288;9;no-
