Resumen Busqueda Ordenada:-
Tiempos de Busquedas Ordenadas:-
Ciclo Busqueda Ordenada; Tiempo; Resultado-
0;0;si-
1;0;si-
2;19;no-
3;18;no-
4;0;si-
5;21;no-
6;0;si-
7;19;no-
8;19;no-
9;0;si-
10;18;no-
11;18;no-
12;21;no-
13;18;no-
14;20;no-
15;21;no-
16;0;si-
17;21;no-
18;0;si-
19;19;no-
20;0;si-
21;18;no-
22;0;si-
23;0;si-
24;18;no-
25;22;no-
26;21;no-
27;0;si-
28;19;no-
29;19;no-
30;19;no-
31;19;no-
32;18;no-
33;19;no-
34;0;si-
35;18;no-
36;18;no-
37;22;no-
38;23;no-
39;0;si-
40;0;si-
41;19;no-
42;18;no-
43;19;no-
44;22;no-
45;19;no-
46;0;si-
47;0;si-
48;21;no-
49;18;no-
50;0;si-
51;0;si-
52;0;si-
53;0;si-
54;0;si-
55;20;no-
56;20;no-
57;0;si-
58;0;si-
59;0;si-
60;18;no-
61;19;no-
62;0;si-
63;22;no-
64;0;si-
65;0;si-
66;0;si-
67;21;no-
68;0;si-
69;22;no-
70;0;si-
71;20;no-
72;0;si-
73;23;no-
74;0;si-
75;18;no-
76;0;si-
77;18;no-
78;17;no-
79;18;no-
80;18;no-
81;0;si-
82;0;si-
83;17;no-
84;0;si-
85;18;no-
86;21;no-
87;18;no-
88;18;no-
89;18;no-
90;19;no-
91;18;no-
92;0;si-
93;18;no-
94;21;no-
95;18;no-
96;21;no-
97;0;si-
98;0;si-
99;21;no-
100;23;no-
101;0;si-
102;19;no-
103;21;no-
104;21;no-
105;18;no-
106;23;no-
107;18;no-
108;18;no-
109;0;si-
110;21;no-
111;0;si-
112;19;no-
113;0;si-
114;21;no-
115;19;no-
116;18;no-
117;0;si-
118;17;no-
119;18;no-
120;0;si-
121;18;no-
122;17;no-
123;0;si-
124;18;no-
125;0;si-
126;18;no-
127;0;si-
128;18;no-
129;18;no-
130;18;no-
131;0;si-
132;20;no-
133;18;no-
134;19;no-
135;21;no-
136;0;si-
137;0;si-
138;17;no-
139;18;no-
140;17;no-
141;0;si-
142;0;si-
143;0;si-
144;18;no-
145;0;si-
146;21;no-
147;0;si-
148;18;no-
149;21;no-
150;22;no-
151;19;no-
152;22;no-
153;20;no-
154;18;no-
155;19;no-
156;21;no-
157;18;no-
158;21;no-
159;18;no-
160;18;no-
161;18;no-
162;19;no-
163;18;no-
164;19;no-
165;0;si-
166;18;no-
167;18;no-
168;0;si-
169;17;no-
170;22;no-
171;0;si-
172;18;no-
173;0;si-
174;18;no-
175;24;no-
176;18;no-
177;0;si-
178;0;si-
179;17;no-
180;18;no-
181;17;no-
182;18;no-
183;0;si-
184;17;no-
185;18;no-
186;18;no-
187;17;no-
188;21;no-
189;18;no-
190;21;no-
191;0;si-
192;17;no-
193;17;no-
194;22;no-
195;19;no-
196;18;no-
197;0;si-
198;0;si-
199;0;si-
200;17;no-
201;0;si-
202;18;no-
203;17;no-
204;18;no-
205;0;si-
206;0;si-
207;22;no-
208;18;no-
209;17;no-
210;0;si-
211;18;no-
212;21;no-
213;18;no-
214;0;si-
215;18;no-
216;18;no-
217;18;no-
218;0;si-
219;17;no-
220;21;no-
221;18;no-
222;18;no-
223;17;no-
224;17;no-
225;20;no-
226;19;no-
227;17;no-
228;1;si-
229;19;no-
230;17;no-
231;18;no-
232;17;no-
233;18;no-
234;19;no-
235;18;no-
236;18;no-
237;17;no-
238;17;no-
239;0;si-
240;22;no-
241;20;no-
242;22;no-
243;19;no-
244;17;no-
245;23;no-
246;17;no-
247;17;no-
248;18;no-
249;17;no-
250;18;no-
251;20;no-
252;0;si-
253;23;no-
254;22;no-
255;18;no-
256;19;no-
257;0;si-
258;21;no-
259;19;no-
260;0;si-
261;17;no-
262;0;si-
263;22;no-
264;21;no-
265;0;si-
266;21;no-
267;23;no-
268;18;no-
269;19;no-
270;20;no-
271;0;si-
272;19;no-
273;17;no-
274;0;si-
275;0;si-
276;19;no-
277;21;no-
278;0;si-
279;20;no-
280;21;no-
281;18;no-
282;0;si-
283;18;no-
284;0;si-
285;17;no-
286;0;si-
287;0;si-
288;18;no-
289;17;no-
290;20;no-
291;18;no-
292;0;si-
293;21;no-
294;0;si-
295;0;si-
296;0;si-
297;17;no-
298;18;no-
299;18;no-
300;20;no-
301;17;no-
302;0;si-
303;18;no-
304;17;no-
305;0;si-
306;0;si-
307;0;si-
308;19;no-
309;20;no-
310;17;no-
311;0;si-
312;18;no-
313;17;no-
314;17;no-
315;0;si-
316;0;si-
317;0;si-
318;0;si-
319;17;no-
320;18;no-
321;17;no-
322;18;no-
323;17;no-
324;18;no-
325;0;si-
326;20;no-
327;0;si-
328;18;no-
329;17;no-
330;17;no-
331;21;no-
332;18;no-
333;17;no-
334;21;no-
335;21;no-
336;20;no-
337;0;si-
338;0;si-
339;19;no-
340;18;no-
341;0;si-
342;17;no-
343;0;si-
344;0;si-
345;19;no-
346;0;si-
347;19;no-
348;17;no-
349;19;no-
350;0;si-
351;20;no-
352;17;no-
353;18;no-
354;17;no-
355;20;no-
356;19;no-
357;0;si-
358;21;no-
359;19;no-
360;19;no-
361;17;no-
362;0;si-
363;18;no-
364;19;no-
365;18;no-
366;17;no-
367;20;no-
368;0;si-
369;18;no-
370;0;si-
371;0;si-
372;18;no-
373;17;no-
374;0;si-
375;0;si-
376;20;no-
377;0;si-
378;19;no-
379;17;no-
380;0;si-
381;17;no-
382;17;no-
383;17;no-
384;17;no-
385;17;no-
386;23;no-
387;18;no-
388;17;no-
389;18;no-
390;17;no-
391;17;no-
392;17;no-
393;0;si-
394;17;no-
395;18;no-
396;17;no-
397;0;si-
398;17;no-
399;18;no-
400;17;no-
401;17;no-
402;17;no-
403;18;no-
404;16;no-
405;18;no-
406;17;no-
407;0;si-
408;0;si-
409;17;no-
410;17;no-
411;19;no-
412;0;si-
413;19;no-
414;18;no-
415;0;si-
416;17;no-
417;0;si-
418;18;no-
419;21;no-
420;19;no-
421;18;no-
422;0;si-
423;19;no-
424;22;no-
425;18;no-
426;17;no-
427;21;no-
428;0;si-
429;17;no-
430;0;si-
431;20;no-
432;18;no-
433;17;no-
434;0;si-
435;20;no-
436;20;no-
437;0;si-
438;17;no-
439;0;si-
440;20;no-
441;19;no-
442;0;si-
443;0;si-
444;19;no-
445;18;no-
446;17;no-
447;17;no-
448;19;no-
449;19;no-
450;0;si-
451;20;no-
452;0;si-
453;17;no-
454;17;no-
455;0;si-
456;19;no-
457;18;no-
458;18;no-
459;0;si-
460;24;no-
461;19;no-
462;17;no-
463;20;no-
464;20;no-
465;20;no-
466;0;si-
467;20;no-
468;19;no-
469;0;si-
470;17;no-
471;17;no-
472;16;no-
473;21;no-
474;16;no-
475;16;no-
476;16;no-
477;0;si-
478;0;si-
479;0;si-
480;17;no-
481;17;no-
482;0;si-
483;0;si-
484;17;no-
485;17;no-
486;20;no-
487;17;no-
488;0;si-
489;0;si-
490;0;si-
491;19;no-
492;0;si-
493;19;no-
494;17;no-
495;0;si-
496;17;no-
497;17;no-
498;16;no-
499;0;si-
500;17;no-
501;21;no-
502;21;no-
503;20;no-
504;19;no-
505;21;no-
506;0;si-
507;0;si-
508;17;no-
509;22;no-
510;21;no-
511;0;si-
512;17;no-
513;18;no-
514;24;no-
515;17;no-
516;0;si-
517;0;si-
518;21;no-
519;17;no-
520;0;si-
521;17;no-
522;17;no-
523;0;si-
524;19;no-
525;0;si-
526;20;no-
527;18;no-
528;17;no-
529;17;no-
530;17;no-
531;0;si-
532;0;si-
533;0;si-
534;17;no-
535;0;si-
536;17;no-
537;17;no-
538;21;no-
539;19;no-
540;17;no-
541;17;no-
542;17;no-
543;21;no-
544;18;no-
545;17;no-
546;17;no-
547;18;no-
548;0;si-
549;0;si-
550;0;si-
551;20;no-
552;20;no-
553;0;si-
554;20;no-
555;19;no-
556;0;si-
557;21;no-
558;1;si-
559;16;no-
560;17;no-
561;0;si-
562;17;no-
563;0;si-
564;0;si-
565;0;si-
566;0;si-
567;17;no-
568;17;no-
569;19;no-
570;18;no-
571;0;si-
572;17;no-
573;17;no-
574;17;no-
575;0;si-
576;0;si-
577;19;no-
578;0;si-
579;0;si-
580;0;si-
581;0;si-
582;0;si-
583;0;si-
584;0;si-
585;18;no-
586;17;no-
587;0;si-
588;21;no-
589;0;si-
590;17;no-
591;18;no-
592;21;no-
593;0;si-
594;0;si-
595;17;no-
596;0;si-
597;0;si-
598;21;no-
599;17;no-
600;20;no-
601;17;no-
602;17;no-
603;18;no-
604;0;si-
605;19;no-
606;19;no-
607;0;si-
608;21;no-
609;21;no-
610;0;si-
611;0;si-
612;17;no-
613;21;no-
614;17;no-
615;21;no-
616;19;no-
617;21;no-
618;17;no-
619;16;no-
620;21;no-
621;17;no-
